Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 61.38      3.24     3.24 38476479     0.08     0.08  median
  9.58      3.75     0.51 38476800     0.01     0.01  gen_pixel
  8.92      4.22     0.47 38476800     0.01     0.01  clip_window
  7.02      4.59     0.37 38476800     0.01     0.12  pixel_processing
  3.61      4.78     0.19 38476800     0.00     0.00  buffer
  3.61      4.97     0.19 38476800     0.00     0.00  shift_window
  3.42      5.15     0.18 38476800     0.00     0.03  system_input
  0.95      5.20     0.05                             main
  0.76      5.24     0.04 38476479     0.00     0.00  thresholding
  0.09      5.24     0.01      501    10.00    10.00  update_base_pos
  0.00      5.24     0.00       50     0.00     0.00  histogram_clean
  0.00      5.24     0.00       50     0.00     0.00  otsu
