Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 62.06      3.35     3.35 38476479     0.09     0.09  median
 10.20      3.90     0.55 38476800     0.01     0.01  gen_pixel
  7.24      4.29     0.39 38476800     0.01     0.01  clip_window
  5.57      4.59     0.30 38476800     0.01     0.01  buffer
  4.27      4.82     0.23 38476800     0.01     0.12  pixel_processing
  4.08      5.04     0.22 38476800     0.01     0.01  shift_window
  3.90      5.25     0.21 38476800     0.01     0.03  system_input
  0.93      5.30     0.05                             main
  0.37      5.32     0.02 38476479     0.00     0.00  thresholding
  0.19      5.33     0.01      501    20.00    20.00  update_base_pos
  0.00      5.33     0.00       50     0.00     0.00  histogram_clean
  0.00      5.33     0.00       50     0.00     0.00  otsu
